Experiment Name,Specimen Name,Well Name,Record Date,$OP,GUID,All Events #Events,All Events %Parent,whole population #Events,whole population %Parent,singlet #Events,singlet %Parent,FITC #Events,FITC %Parent
20230817_KWTITER,Plate 1,A1,"Aug 17, 2023 1:42:16 PM",Phillips ,3e85b54a-13a7-4849-8d62-f5a0414cb49b,14836,,9148,61.7,6181,67.6,500,8.1
20230817_KWTITER,Plate 1,A2,"Aug 17, 2023 1:42:46 PM",Phillips ,7bc54285-be3e-4c28-92b5-30252bebe316,18924,,11313,59.8,7656,67.7,459,6.0
20230817_KWTITER,Plate 1,A3,"Aug 17, 2023 1:43:16 PM",Phillips ,c56add28-0414-4a81-85ba-48853166ab5a,19804,,13276,67.0,9571,72.1,629,6.6
20230817_KWTITER,Plate 1,A4,"Aug 17, 2023 1:43:46 PM",Phillips ,87c39fb1-6845-471a-8cb0-a59e1099298b,16557,,9157,55.3,6222,67.9,264,4.2
20230817_KWTITER,Plate 1,A5,"Aug 17, 2023 1:44:16 PM",Phillips ,af2435de-5ae6-49f3-b572-370f30aed0d6,16038,,9246,57.7,6468,70.0,608,9.4
20230817_KWTITER,Plate 1,A6,"Aug 17, 2023 1:44:46 PM",Phillips ,ed7d9d1d-9e74-45e5-b76d-343ff5f85c65,10672,,6186,58.0,4053,65.5,304,7.5
20230817_KWTITER,Plate 1,A7,"Aug 17, 2023 1:45:17 PM",Phillips ,d10cf7e3-6d02-4370-8630-08bdd4c3bc31,18354,,13079,71.3,9376,71.7,613,6.5
20230817_KWTITER,Plate 1,A8,"Aug 17, 2023 1:45:47 PM",Phillips ,2047fae8-238f-42b5-979a-59f702029268,10220,,6209,60.8,4062,65.4,438,10.8
20230817_KWTITER,Plate 1,B1,"Aug 17, 2023 1:46:17 PM",Phillips ,120fbf67-ced1-472a-ab2b-60006dde35c6,11177,,6440,57.6,4240,65.8,174,4.1
20230817_KWTITER,Plate 1,B2,"Aug 17, 2023 1:46:47 PM",Phillips ,47d7a4d7-879c-4f90-8e30-c86a15fe6974,19222,,11735,61.0,8231,70.1,278,3.4
20230817_KWTITER,Plate 1,B3,"Aug 17, 2023 1:47:18 PM",Phillips ,1f64e500-fca5-4b80-bb32-3cc97ecb65b5,22425,,13188,58.8,9163,69.5,217,2.4
20230817_KWTITER,Plate 1,B4,"Aug 17, 2023 1:47:48 PM",Phillips ,0c2c08c9-138e-435a-b51f-0a579b13e1e4,20639,,11115,53.9,7757,69.8,212,2.7
20230817_KWTITER,Plate 1,B5,"Aug 17, 2023 1:48:18 PM",Phillips ,2fec2c5a-1bed-43fa-b77c-248e449e322e,21631,,13104,60.6,9433,72.0,167,1.8
20230817_KWTITER,Plate 1,B6,"Aug 17, 2023 1:48:48 PM",Phillips ,ffaeba22-64a5-4972-9712-de7cef120cfb,18732,,11406,60.9,7957,69.8,158,2.0
20230817_KWTITER,Plate 1,B7,"Aug 17, 2023 1:49:18 PM",Phillips ,2c11d44f-03ea-4deb-a470-7db938c8cd0f,20891,,14089,67.4,10000,71.0,149,1.5
20230817_KWTITER,Plate 1,B8,"Aug 17, 2023 1:49:49 PM",Phillips ,7cf32a21-79d3-4563-9cc6-9101593fbba9,20242,,13076,64.6,9179,70.2,172,1.9
20230817_KWTITER,Plate 1,C1,"Aug 17, 2023 1:50:19 PM",Phillips ,4daf78e4-8a20-499e-a694-d3047e2dc71f,14961,,8625,57.6,5850,67.8,104,1.8
20230817_KWTITER,Plate 1,C2,"Aug 17, 2023 1:50:49 PM",Phillips ,f8453b68-3172-4523-b4d3-0512bfef2d14,21450,,12211,56.9,8709,71.3,125,1.4
20230817_KWTITER,Plate 1,C3,"Aug 17, 2023 1:51:19 PM",Phillips ,5be99f5a-dc15-425f-9252-d35e8de847d1,20099,,11951,59.5,8036,67.2,200,2.5
