Experiment Name,Specimen Name,Well Name,Record Date,$OP,GUID,All Events #Events,All Events %Parent,whole population #Events,whole population %Parent,singlet #Events,singlet %Parent,FITC #Events,FITC %Parent
20230505_kw_titer3,Plate 1,A1,"Sep 12, 2023 2:56:07 PM",Phillips ,e8d9b3de-ff96-4473-a6ca-5a0bf50ba7e6,23262,,4815,20.7,2847,59.1,219,7.7
20230505_kw_titer3,Plate 1,A2,"Sep 12, 2023 2:56:38 PM",Phillips ,7eaf43a5-978c-4abe-9fac-0b453a92669a,14473,,3932,27.2,2351,59.8,191,8.1
20230505_kw_titer3,Plate 1,A3,"Sep 12, 2023 2:58:12 PM",Phillips ,cb4bee44-7993-4090-8917-10e91bed2725,36313,,10503,28.9,6075,57.8,281,4.6
20230505_kw_titer3,Plate 1,A4,"Sep 12, 2023 2:59:03 PM",Phillips ,14dc5836-33e2-4cb4-99d4-10de53e9623d,40699,,11027,27.1,6212,56.3,184,3.0
20230505_kw_titer3,Plate 1,A5,"Sep 12, 2023 2:59:53 PM",Phillips ,c9048ba2-8068-4ddc-b71e-455eb054ff86,40739,,10604,26.0,6132,57.8,204,3.3
20230505_kw_titer3,Plate 1,A6,"Sep 12, 2023 3:00:44 PM",Phillips ,9973c419-2eaf-47b9-a70a-5a1ff1d85c1f,38966,,8719,22.4,4878,55.9,94,1.9
20230505_kw_titer3,Plate 1,A7,"Sep 12, 2023 3:01:35 PM",Phillips ,74a4d321-18ad-4501-8239-c2a77a4425a3,44720,,10507,23.5,6059,57.7,105,1.7
20230505_kw_titer3,Plate 1,A8,"Sep 12, 2023 3:02:26 PM",Phillips ,47e0a815-4f91-4342-8e73-28ddad745fea,45668,,9791,21.4,5752,58.7,63,1.1
20230505_kw_titer3,Plate 1,B1,"Sep 12, 2023 3:03:17 PM",Phillips ,9386f2e1-96a3-4e5c-9436-8bf240743af8,30372,,4979,16.4,2717,54.6,69,2.5
20230505_kw_titer3,Plate 1,B2,"Sep 12, 2023 3:04:08 PM",Phillips ,e70bcddb-d891-4270-8877-6ef2ac6b02dd,36191,,6902,19.1,3824,55.4,80,2.1
20230505_kw_titer3,Plate 1,B3,"Sep 12, 2023 3:04:58 PM",Phillips ,84c48daf-46d4-4f18-a7f4-e5f4f1d54c2d,40899,,8074,19.7,4332,53.7,60,1.4
20230505_kw_titer3,Plate 1,B4,"Sep 12, 2023 3:05:49 PM",Phillips ,4b5361e3-f425-47d7-a07a-2935d31abf04,44070,,10036,22.8,5443,54.2,50,0.9
20230505_kw_titer3,Plate 1,B5,"Sep 12, 2023 3:06:40 PM",Phillips ,2f5dab20-029b-401b-b60f-a125e25a9d91,46514,,9690,20.8,5149,53.1,42,0.8
20230505_kw_titer3,Plate 1,B6,"Sep 12, 2023 3:07:31 PM",Phillips ,489638ee-0509-4936-bc59-336fceea7777,47083,,9927,21.1,5487,55.3,37,0.7
20230505_kw_titer3,Plate 1,B7,"Sep 12, 2023 3:08:22 PM",Phillips ,13725058-67a4-4ee7-b5b1-e0efc9380f39,46045,,9118,19.8,4833,53.0,22,0.5
