Experiment Name,Specimen Name,Well Name,Record Date,$OP,GUID,All Events #Events,All Events %Parent,whole population #Events,whole population %Parent,singlet #Events,singlet %Parent,FITC #Events,FITC %Parent
20240610_KWTITER,plate_1,A1,6/10/24 16:12,Phillips ,ceedb5f6-ee34-4546-aaa0-74fab63beb6b ,31407,,20420,65,20000,97.9,2826,14.1
20240610_KWTITER,plate_1,A2,6/10/24 16:12,Phillips ,8d75f975-4aed-4906-b1fc-516032cc3ad6 ,16109,,10147,63,10000,98.6,1415,14.2
20240610_KWTITER,plate_1,A3,6/10/24 16:13,Phillips ,6ec5d06f-f67a-4ecc-b140-b00f778939e7 ,16214,,10219,63,10000,97.9,569,5.7
20240610_KWTITER,plate_1,A4,6/10/24 16:13,Phillips ,fc9bb968-f1c1-4d16-8a3c-2256ec55caa8 ,15701,,10239,65.2,10000,97.7,421,4.2
20240610_KWTITER,plate_1,A5,6/10/24 16:13,Phillips ,a174a2c6-9800-4646-a018-7ea6ef7a5547 ,13987,,10189,72.8,10000,98.1,721,7.2
20240610_KWTITER,plate_1,A6,6/10/24 16:14,Phillips ,b3d966c4-3e4d-41e7-9d9a-92d078822749 ,14293,,10187,71.3,10000,98.2,698,7
20240610_KWTITER,plate_1,A7,6/10/24 16:14,Phillips ,c20fce54-1671-40a3-9e69-1d90d81f9e3d ,15423,,10157,65.9,10000,98.5,246,2.5
20240610_KWTITER,plate_1,A8,6/10/24 16:14,Phillips ,9f526d0e-0b58-4ccb-a1b7-e2110569fc3a ,14346,,10213,71.2,10000,97.9,272,2.7
20240610_KWTITER,plate_1,B1,6/10/24 16:14,Phillips ,3cf202b6-470a-4f2b-a175-dc2659555a0e ,21515,,10134,47.1,10000,98.7,317,3.2
20240610_KWTITER,plate_1,B2,6/10/24 16:15,Phillips ,f3a082c5-36b6-40f5-b418-f9175fb4db7d ,16540,,10243,61.9,10000,97.6,302,3
20240610_KWTITER,plate_1,B3,6/10/24 16:15,Phillips ,b03e6fe0-70e6-4609-8d45-133cba2b4aa1 ,21345,,10135,47.5,10000,98.7,136,1.4
20240610_KWTITER,plate_1,B4,6/10/24 16:15,Phillips ,53af52e1-1752-4bfb-93b1-c4dc41d228ee ,15937,,10187,63.9,10000,98.2,99,1
20240610_KWTITER,plate_1,B5,6/10/24 16:15,Phillips ,b61f527d-fd33-487b-842d-d5a4e2bb0b50 ,15942,,10186,63.9,10000,98.2,119,1.2
20240610_KWTITER,plate_1,B6,6/10/24 16:16,Phillips ,7ab06694-7f9c-4b5e-8209-7ece479b7b3a ,16158,,10139,62.7,10000,98.6,139,1.4
20240610_KWTITER,plate_1,B7,6/10/24 16:16,Phillips ,ade43136-79a7-4853-8aa8-491cff8f79b1 ,17702,,10110,57.1,10000,98.9,76,0.8
20240610_KWTITER,plate_1,B8,6/10/24 16:16,Phillips ,b627d1d5-eb35-472e-9664-ebf95acc23bf ,15581,,10206,65.5,10000,98,60,0.6
20240610_KWTITER,plate_1,C1,6/10/24 16:17,Phillips ,94a564fb-193f-4639-87e0-4457c348a0c8 ,22671,,10115,44.6,10000,98.9,112,1.1
20240610_KWTITER,plate_1,C2,6/10/24 16:17,Phillips ,2bdd6bd3-b360-4706-b03e-ba9fe8aaa93d ,22979,,10139,44.1,10000,98.6,77,0.8
20240610_KWTITER,plate_1,C3,6/10/24 16:17,Phillips ,2c09010b-0211-4cbb-a5c5-ab9545dfd994 ,22613,,10124,44.8,10000,98.8,41,0.4
20240610_KWTITER,plate_1,C4,6/10/24 16:18,Phillips ,63feb357-d041-4d1b-bbd0-21b58f53c5c9 ,21925,,10136,46.2,10000,98.7,32,0.3
20240610_KWTITER,plate_1,C5,6/10/24 16:18,Phillips ,9aa14d46-6038-44dc-a2e9-d69a4485b7c3 ,17102,,10173,59.5,10000,98.3,57,0.6
20240610_KWTITER,plate_1,C6,6/10/24 16:18,Phillips ,5c26c3aa-15a5-46ce-abcd-f4a3f1500ab0 ,17199,,10187,59.2,10000,98.2,55,0.5
20240610_KWTITER,plate_1,C7,6/10/24 16:18,Phillips ,52914839-c89f-4abc-a7bb-7f5d9d6484b6 ,18229,,10134,55.6,10000,98.7,18,0.2
20240610_KWTITER,plate_1,C8,6/10/24 16:19,Phillips ,7162b3b4-8c95-4ae0-a637-b6614fc5b2f0 ,18905,,10144,53.7,10000,98.6,23,0.2
20240610_KWTITER,plate_1,D1,6/10/24 16:19,Phillips ,08d1d6e0-1c69-4fe4-a528-8c4bceee728b ,24143,,10103,41.8,10000,99,42,0.4
20240610_KWTITER,plate_1,D2,6/10/24 16:19,Phillips ,7484e5ef-2106-439b-8743-9faa9bdce9fc ,23934,,10141,42.4,10000,98.6,44,0.4
20240610_KWTITER,plate_1,D3,6/10/24 16:20,Phillips ,f36f3d3e-8c7d-4a44-bfc5-633a081b4ae1 ,22613,,10112,44.7,10000,98.9,31,0.3
20240610_KWTITER,plate_1,D4,6/10/24 16:20,Phillips ,61c3e755-c4c9-44e8-bbe8-7f3054d3a26a ,23882,,10114,42.3,10000,98.9,23,0.2
20240610_KWTITER,plate_1,D5,6/10/24 16:20,Phillips ,8795e815-d2dc-443b-b57e-e948732df883 ,17970,,10182,56.7,10000,98.2,33,0.3
