Experiment Name,Specimen Name,Well Name,Record Date,$OP,GUID,All Events #Events,All Events %Parent,whole population #Events,whole population %Parent,singlet #Events,singlet %Parent,FITC #Events,FITC %Parent
20230817_KWTITER_001,Plate 1,A1,4/11/24 15:38,Phillips ,87f040f4-1998-478d-9c8c-c49f94bc9a88 ,23161,,8886,38.4,7242,81.5,867,12
20230817_KWTITER_001,Plate 1,A2,4/11/24 15:39,Phillips ,42e8f3e4-3e91-45c3-a83c-5e0e5a59ec75 ,23212,,8114,35,6612,81.5,1081,16.3
20230817_KWTITER_001,Plate 1,A3,4/11/24 15:41,Phillips ,c49cc76b-20fd-4516-a36e-38557d43a927 ,29252,,11735,40.1,10000,85.2,1358,13.6
20230817_KWTITER_001,Plate 1,A4,4/11/24 15:42,Phillips ,4354cfd5-4ca9-4a40-a80d-559068240f6d ,27358,,10211,37.3,8534,83.6,1485,17.4
20230817_KWTITER_001,Plate 1,A5,4/11/24 15:44,Phillips ,5074769c-1c9b-4951-8483-5f343743a4cb ,28808,,11906,41.3,10000,84,1606,16.1
20230817_KWTITER_001,Plate 1,A6,4/11/24 15:45,Phillips ,3fcb3502-8e30-4900-ad14-a78c9a06218b ,23905,,12272,51.3,10011,81.6,1445,14.4
20230817_KWTITER_001,Plate 1,A7,4/11/24 15:47,Phillips ,5db19ff5-935c-4e09-83ba-a06f920e5a5b ,30907,,11060,35.8,9547,86.3,2409,25.2
20230817_KWTITER_001,Plate 1,A8,4/11/24 15:48,Phillips ,b4374896-aac6-4bac-8c3d-a40419d92856 ,23934,,10031,41.9,8796,87.7,1798,20.4
20230817_KWTITER_001,Plate 1,B1,4/11/24 15:52,Phillips ,78c3caba-cb87-444c-8a59-c6c9ddc32b51 ,25857,,11463,44.3,10000,87.2,147,1.5
20230817_KWTITER_001,Plate 1,B2,4/11/24 15:52,Phillips ,a8aab637-ea83-426a-998c-6879134873ac ,23835,,11320,47.5,10000,88.3,198,2
20230817_KWTITER_001,Plate 1,B3,4/11/24 15:53,Phillips ,13a72406-39b8-44cf-af02-d93e9f0c17a7 ,22697,,10878,47.9,10000,91.9,136,1.4
20230817_KWTITER_001,Plate 1,B4,4/11/24 15:53,Phillips ,15c040c6-7a83-4369-8aa1-ac8f4a83d8c2 ,24225,,11179,46.1,10000,89.5,246,2.5
20230817_KWTITER_001,Plate 1,B5,4/11/24 15:54,Phillips ,14b86a58-a4e2-44b3-ba05-8d98778c7d81 ,25527,,11567,45.3,10000,86.5,198,2
20230817_KWTITER_001,Plate 1,B6,4/11/24 15:54,Phillips ,c7a9afd7-b6ed-45cb-8073-4400394262fb ,22994,,11661,50.7,10000,85.8,155,1.6
20230817_KWTITER_001,Plate 1,B7,4/11/24 15:55,Phillips ,0923a65b-4d91-4645-940c-d568098f5368 ,32117,,11698,36.4,10000,85.5,305,3.1
20230817_KWTITER_001,Plate 1,B8,4/11/24 15:55,Phillips ,df0b1a33-8148-4d51-8dfc-413e11621950 ,27665,,11302,40.9,10000,88.5,269,2.7
20230817_KWTITER_001,Plate 1,C1,4/11/24 15:56,Phillips ,df545ea4-0745-46c5-8326-533f8db0616a ,28642,,10578,36.9,9084,85.9,48,0.5
20230817_KWTITER_001,Plate 1,C2,4/11/24 15:56,Phillips ,8f716635-c89c-4e07-84fb-1db9d9cb6bb6 ,26881,,11254,41.9,10000,88.9,68,0.7
20230817_KWTITER_001,Plate 1,C3,4/11/24 15:57,Phillips ,63198589-2caa-4e62-98a0-cea86f16ff97 ,23397,,10823,46.3,10000,92.4,52,0.5
20230817_KWTITER_001,Plate 1,C4,4/11/24 15:57,Phillips ,b4d49363-8d4d-4c81-b20f-2d1cc25e9382 ,26518,,11115,41.9,10000,90,47,0.5
20230817_KWTITER_001,Plate 1,C5,4/11/24 15:58,Phillips ,89a5f392-63d3-487c-ac8d-822f48fed119 ,22815,,10954,48,10000,91.3,51,0.5
20230817_KWTITER_001,Plate 1,C6,4/11/24 15:58,Phillips ,72f0c37d-6a34-4d84-9c9a-70093dc5e2d3 ,22526,,11620,51.6,10000,86.1,57,0.6
20230817_KWTITER_001,Plate 1,C7,4/11/24 15:58,Phillips ,e0796a58-0ce5-4cee-a0e2-36c22819d7c7 ,26358,,11463,43.5,10000,87.2,91,0.9
20230817_KWTITER_001,Plate 1,C8,4/11/24 15:59,Phillips ,c9716a5f-0968-4745-a39d-ede12b032686 ,27047,,11308,41.8,10000,88.4,67,0.7
20230817_KWTITER_001,Plate 1,D1,4/11/24 15:30,Phillips ,014387e6-80cd-423a-b3c3-8e5fa73c35d7 ,12588,,5667,45,4958,87.5,8,0.2
20230817_KWTITER_001,Plate 1,D2,4/11/24 16:02,Phillips ,ea1f2131-0f41-4b97-9431-98e5c6da9cf0 ,25641,,10960,42.7,10000,91.2,18,0.2
20230817_KWTITER_001,Plate 1,D3,4/11/24 16:03,Phillips ,2eb27164-279d-4b3a-aebc-b17fb383b2b5 ,26487,,10867,41,10000,92,20,0.2
20230817_KWTITER_001,Plate 1,D4,4/11/24 16:03,Phillips ,38c46ad1-f8be-478e-b0f4-bf4cef852d2c ,26809,,10933,40.8,10000,91.5,24,0.2
20230817_KWTITER_001,Plate 1,D5,4/11/24 16:04,Phillips ,b80c9883-da50-4e3e-ba1f-dec7099b4613 ,27889,,11201,40.2,10000,89.3,20,0.2
20230817_KWTITER_001,Plate 1,D6,4/11/24 16:04,Phillips ,13651643-3323-488c-b6b6-96f1862373ab ,23856,,11845,49.7,10000,84.4,17,0.2
20230817_KWTITER_001,Plate 1,D7,4/11/24 16:05,Phillips ,49ac5af1-ee5b-4055-9a0f-269cc873a20c ,28076,,11464,40.8,10000,87.2,32,0.3
20230817_KWTITER_001,Plate 1,D8,4/11/24 16:05,Phillips ,1894bc7d-c6fd-42fd-8438-be356e11b202 ,32343,,11579,35.8,10000,86.4,27,0.3
20230817_KWTITER_001,Plate 1,E1,4/11/24 16:06,Phillips ,38c9388c-cfcc-4de3-bdfc-4d4547d18eef ,28642,,6349,22.2,5475,86.2,501,9.2
20230817_KWTITER_001,Plate 1,E2,4/11/24 16:07,Phillips ,f57ff2ea-8e6a-43e4-aafb-e01be4511ca2 ,21118,,5668,26.8,5008,88.4,588,11.7
20230817_KWTITER_001,Plate 1,E3,4/11/24 16:08,Phillips ,73b5a9e5-73de-4381-aa8f-084f33f241b9 ,22424,,7402,33,6725,90.9,784,11.7
20230817_KWTITER_001,Plate 1,E4,4/11/24 16:08,Phillips ,d89665a9-9f59-4522-a509-25e42ac8447b ,25090,,8285,33,7575,91.4,997,13.2
20230817_KWTITER_001,Plate 1,E5,4/11/24 16:09,Phillips ,76050905-590e-4292-b5ec-bce0618c8d2d ,21832,,9331,42.7,8400,90,1045,12.4
20230817_KWTITER_001,Plate 1,E6,4/11/24 16:09,Phillips ,ead4ae37-375b-4527-8b84-38f43953e97c ,22620,,10298,45.5,8756,85,877,10
20230817_KWTITER_001,Plate 1,E7,4/11/24 16:09,Phillips ,1906a62e-be1a-4728-97fc-0d0d4d261d62 ,20344,,5691,28,5204,91.4,1082,20.8
20230817_KWTITER_001,Plate 1,E8,4/11/24 16:10,Phillips ,9fec36a6-a750-48cf-a11f-36e59b3bd16a ,19628,,5491,28,5155,93.9,886,17.2
20230817_KWTITER_001,Plate 1,F1,4/11/24 16:10,Phillips ,ad8a36ce-4f79-4cb3-8417-cb0a5d09cb6d ,24830,,7646,30.8,6983,91.3,100,1.4
20230817_KWTITER_001,Plate 1,F2,4/11/24 16:11,Phillips ,15e15b82-f053-4c62-9347-7b89727102cb ,26000,,8452,32.5,7453,88.2,166,2.2
20230817_KWTITER_001,Plate 1,F3,4/11/24 16:11,Phillips ,46d4116d-b678-45a1-9f4c-9ed5e185cf59 ,26520,,9259,34.9,8542,92.3,151,1.8
20230817_KWTITER_001,Plate 1,F4,4/11/24 16:12,Phillips ,96a12c9d-3fe8-42eb-b8c8-360ab8459185 ,27560,,9380,34,8696,92.7,194,2.2
20230817_KWTITER_001,Plate 1,F5,4/11/24 16:12,Phillips ,50a2ea4a-d0bb-4fcd-a8f7-f8df370e54da ,25285,,8535,33.8,7519,88.1,147,2
20230817_KWTITER_001,Plate 1,F6,4/11/24 16:13,Phillips ,d5a84cdb-e84b-4ae0-b243-a475fb36da3b ,23725,,10090,42.5,8923,88.4,135,1.5
20230817_KWTITER_001,Plate 1,F7,4/11/24 16:13,Phillips ,1ce36fa4-75d4-425f-886e-868fb59278ee ,24635,,7633,31,6976,91.4,187,2.7
20230817_KWTITER_001,Plate 1,F8,4/11/24 16:13,Phillips ,053694c5-d3b2-4669-9de8-12cee28b5d93 ,24570,,7564,30.8,6921,91.5,160,2.3
20230817_KWTITER_001,Plate 1,G1,4/11/24 16:14,Phillips ,135a9341-66a7-4f8a-a8cc-3c5a5ef18cc5 ,20410,,5611,27.5,4925,87.8,24,0.5
20230817_KWTITER_001,Plate 1,G2,4/11/24 16:14,Phillips ,53bb1836-14d5-4d21-a4b6-43538e098711 ,22490,,6262,27.8,5721,91.4,46,0.8
20230817_KWTITER_001,Plate 1,G3,4/11/24 16:15,Phillips ,09faea1e-aa74-4f9b-893e-549c765e2043 ,32890,,10327,31.4,9623,93.2,45,0.5
20230817_KWTITER_001,Plate 1,G4,4/11/24 16:15,Phillips ,9e438127-bf97-40a5-8478-ee88faf77181 ,30730,,8744,28.5,8234,94.2,42,0.5
20230817_KWTITER_001,Plate 1,G5,4/11/24 16:16,Phillips ,151b9702-0068-44cb-81d7-b4faa13bf8d2 ,30030,,9498,31.6,8727,91.9,54,0.6
20230817_KWTITER_001,Plate 1,G6,4/11/24 16:16,Phillips ,21803336-319b-451d-9933-0cdec48fdda2 ,22425,,8941,39.9,7760,86.8,34,0.4
20230817_KWTITER_001,Plate 1,G7,4/11/24 16:17,Phillips ,7439b256-01ab-41b7-8179-64668622ae39 ,23213,,5911,25.5,5412,91.6,45,0.8
20230817_KWTITER_001,Plate 1,G8,4/11/24 16:17,Phillips ,d93dbe15-4354-4351-9466-4e9bfc25f9e2 ,22620,,6792,30,6431,94.7,41,0.6
20230817_KWTITER_001,Plate 1,H1,4/11/24 16:17,Phillips ,3967f3f7-f2ef-4cb7-9b03-e0a624c281d3 ,25220,,9069,36,8312,91.7,16,0.2
20230817_KWTITER_001,Plate 1,H2,4/11/24 16:18,Phillips ,e3edc4db-e69d-4308-b94f-298d81d6dfdb ,28925,,10891,37.7,9753,89.6,16,0.2
20230817_KWTITER_001,Plate 1,H3,4/11/24 16:18,Phillips ,320679b3-a31d-4c6a-9cd1-afb4db6b0854 ,30513,,10869,35.6,10000,92,20,0.2
20230817_KWTITER_001,Plate 1,H4,4/11/24 16:19,Phillips ,eb096d5c-2a36-4afc-81ac-bc7c061e306d ,33345,,10151,30.4,9370,92.3,21,0.2
20230817_KWTITER_001,Plate 1,H5,4/11/24 16:19,Phillips ,9f77d82b-2408-4d27-884f-c6347ce364e8 ,31411,,11097,35.3,10000,90.1,22,0.2
20230817_KWTITER_001,Plate 1,H6,4/11/24 16:20,Phillips ,4567b53c-f59c-4ff6-aeca-ce9fa4e28949 ,29747,,11670,39.2,10000,85.7,23,0.2
